operation,algorithm,key_gen_time,sign_time,verify_time,aggregate_time,aggregate_verify_time,encrypt_time,decrypt_time,total_time,memory_peak_mb,memory_avg_mb
key_generation,BLS,1.0418891906738282e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.828125,0.0
signing_1024,BLS,0.0,2.7418136596679688e-06,0.0,0.0,0.0,0.0,0.0,0.0,180.984375,0.0
signing_4096,BLS,0.0,3.6716461181640626e-06,0.0,0.0,0.0,0.0,0.0,0.0,180.984375,0.0
signing_16384,BLS,0.0,9.1552734375e-06,0.0,0.0,0.0,0.0,0.0,0.0,181.0296875,0.0
signing_65536,BLS,0.0,3.1876564025878904e-05,0.0,0.0,0.0,0.0,0.0,0.0,181.03125,0.0
verification_1024,BLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_4096,BLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_16384,BLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_65536,BLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation_10,BLS,0.0,0.0,0.0,4.9686431884765626e-05,0.0,0.0,0.0,0.0,181.059375,0.0
aggregation_50,BLS,0.0,0.0,0.0,0.00019354820251464843,0.0,0.0,0.0,0.0,181.25,0.0
aggregation_100,BLS,0.0,0.0,0.0,0.0004791259765625,0.0,0.0,0.0,0.0,181.85625,0.0
aggregation_500,BLS,0.0,0.0,0.0,0.002054119110107422,0.0,0.0,0.0,0.0,183.634375,0.0
key_generation,LHS,3.7670135498046877e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.96875,0.0
signing_1024,LHS,0.0,4.911422729492188e-06,0.0,0.0,0.0,0.0,0.0,0.0,184.96875,0.0
signing_4096,LHS,0.0,4.243850708007813e-06,0.0,0.0,0.0,0.0,0.0,0.0,184.96875,0.0
signing_16384,LHS,0.0,9.775161743164062e-06,0.0,0.0,0.0,0.0,0.0,0.0,184.96875,0.0
signing_65536,LHS,0.0,2.9420852661132814e-05,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
verification_1024,LHS,0.0,0.0,3.147125244140625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_4096,LHS,0.0,0.0,4.00543212890625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_16384,LHS,0.0,0.0,9.059906005859375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_65536,LHS,0.0,0.0,2.968311309814453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation_10,LHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
aggregation_50,LHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
aggregation_100,LHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
aggregation_500,LHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.05,0.0
key_generation,Waters,3.7670135498046877e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.078125,0.0
signing_1024,Waters,0.0,1.6689300537109375e-06,0.0,0.0,0.0,0.0,0.0,0.0,185.078125,0.0
signing_4096,Waters,0.0,2.47955322265625e-06,0.0,0.0,0.0,0.0,0.0,0.0,185.078125,0.0
signing_16384,Waters,0.0,7.891654968261719e-06,0.0,0.0,0.0,0.0,0.0,0.0,185.078125,0.0
signing_65536,Waters,0.0,2.918243408203125e-05,0.0,0.0,0.0,0.0,0.0,0.0,185.09375,0.0
verification_1024,Waters,0.0,0.0,1.621246337890625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_4096,Waters,0.0,0.0,2.5033950805664062e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_16384,Waters,0.0,0.0,8.440017700195312e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_65536,Waters,0.0,0.0,2.8467178344726564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation_10,Waters,0.0,0.0,0.0,1.4829635620117188e-05,0.0,0.0,0.0,0.0,185.09375,0.0
aggregation_50,Waters,0.0,0.0,0.0,7.014274597167968e-05,0.0,0.0,0.0,0.0,185.09375,0.0
aggregation_100,Waters,0.0,0.0,0.0,0.00015053749084472656,0.0,0.0,0.0,0.0,185.121875,0.0
aggregation_500,Waters,0.0,0.0,0.0,0.0007291316986083984,0.0,0.0,0.0,0.0,185.55625,0.0
key_generation,BonehBoyen,3.147125244140625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.359375,0.0
signing_1024,BonehBoyen,0.0,2.408027648925781e-06,0.0,0.0,0.0,0.0,0.0,0.0,185.359375,0.0
signing_4096,BonehBoyen,0.0,4.649162292480469e-06,0.0,0.0,0.0,0.0,0.0,0.0,185.359375,0.0
signing_16384,BonehBoyen,0.0,1.4805793762207032e-05,0.0,0.0,0.0,0.0,0.0,0.0,185.359375,0.0
signing_65536,BonehBoyen,0.0,5.526542663574219e-05,0.0,0.0,0.0,0.0,0.0,0.0,185.359375,0.0
verification_1024,BonehBoyen,0.0,0.0,2.3365020751953127e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
